loan_yy;loan_mm;loan_dd;amount;duration;birth_yy;birth_mm;birth_dd;gender;district_id;inhabitants;cities;ratio_urban;avg_salary;unemploy_95;unemploy_96;dif_unemp;entrep;crimes_95;crimes_96;dif_crimes;response
98;1;4;63576;12;60;4;3;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;3;29;84600;36;38;8;16;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;0
97;3;20;84288;48;77;11;1;0;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
97;12;28;106128;36;78;12;21;1;36;159617;9;852;9198;3.33;4.28;0.95;131;5796;6132;336;1
95;4;5;158976;48;39;1;9;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
95;11;28;137904;24;68;5;6;1;11;75637;7;365;9622;0.45;0.59;0.14;154;3475;3529;54;0
97;7;31;41856;48;60;11;9;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
98;6;3;151200;36;46;10;10;1;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
97;8;15;100800;24;38;5;26;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;0
98;6;21;212976;36;73;6;27;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;8;28;405780;60;51;1;19;1;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
94;8;27;79632;24;59;8;10;0;66;125832;5;483;8512;3.51;4.12;0.61;102;2247;2103;-144;1
94;6;29;244560;60;67;7;19;0;58;109164;4;636;8757;3.38;3.95;0.57;96;2212;2471;259;1
98;11;4;41988;12;73;3;9;1;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;1
97;5;22;164196;36;56;9;23;0;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
97;8;9;51360;12;45;9;8;0;61;117897;6;538;8814;4.76;5.74;0.98;107;2112;2059;-53;0
94;12;8;51408;24;49;7;24;1;29;45714;6;556;8843;2.82;3.60;0.78;113;818;888;70;1
97;12;9;100128;24;48;4;6;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
98;10;30;327660;60;42;3;18;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
97;3;29;90156;12;46;10;7;0;69;42821;3;484;8173;7;7.01;0.00;124;1358;1358;0;1
95;2;8;221280;48;68;3;28;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
95;2;23;97224;24;51;4;7;0;17;74062;7;614;8114;2.38;2.62;0.24;119;1003;1181;178;1
97;4;1;74040;12;56;3;13;0;73;182027;7;564;8746;3.33;3.74;0.41;90;4355;4433;78;1
95;10;31;73836;36;67;5;29;0;39;119895;4;899;10446;7.34;9.40;2.06;90;4947;4743;-204;1
94;9;26;87816;12;61;5;2;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;10;31;192744;36;64;3;14;1;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
94;10;3;192744;36;71;9;20;0;60;110643;4;519;8441;3.45;4.48;1.03;115;1879;2252;373;1
98;2;9;321240;60;70;1;23;1;14;177686;9;748;10045;1.42;1.71;0.29;135;6604;6295;-309;1
96;5;14;66480;24;35;7;21;1;73;182027;7;564;8746;3.33;3.74;0.41;90;4355;4433;78;0
98;8;3;86184;36;68;8;31;1;17;74062;7;614;8114;2.38;2.62;0.24;119;1003;1181;178;1
97;1;3;93960;60;62;6;1;1;45;77917;5;535;8390;2.28;2.89;0.61;132;2080;2122;42;1
96;9;25;15192;24;72;12;27;0;24;122603;8;800;8991;1.39;2.01;0.62;128;5198;5273;75;1
96;1;1;135360;48;75;9;24;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
98;5;5;81144;36;44;5;27;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;1;3;61320;60;47;9;17;0;56;124605;8;460;8772;4.69;4.98;0.29;126;2854;3158;304;1
94;6;4;300204;36;64;3;13;1;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
95;8;5;20220;12;73;5;15;0;9;81344;6;553;8899;3.39;3.97;0.58;149;2987;2487;-500;1
96;10;10;64656;48;47;3;19;1;27;67298;7;438;8561;0.65;1.29;0.64;110;1029;1127;98;1
98;1;12;66696;24;76;1;1;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;3;17;66696;24;66;12;22;0;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;0
97;6;18;33348;12;70;9;12;0;9;81344;6;553;8899;3.39;3.97;0.58;149;2987;2487;-500;1
97;12;13;87528;24;51;2;16;1;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;1
96;8;25;402000;60;80;8;6;1;4;149893;6;674;9753;4.64;5.05;0.41;109;5244;5892;648;1
97;5;28;106944;24;53;3;22;0;63;86513;5;505;8288;3.79;4.52;0.73;110;1562;1460;-102;1
97;3;15;162624;48;57;11;4;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
97;3;14;97176;24;55;3;2;0;8;112065;8;694;11277;1.25;1.44;0.19;127;5179;4987;-192;1
97;11;4;168264;36;50;10;8;1;73;182027;7;564;8746;3.33;3.74;0.41;90;4355;4433;78;1
95;8;11;107640;24;59;11;22;0;2;88884;5;467;8507;1.67;1.85;0.18;132;2159;2674;515;1
97;9;7;204780;60;53;2;24;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
95;7;9;465072;48;48;5;8;1;66;125832;5;483;8512;3.51;4.12;0.61;102;2247;2103;-144;1
97;11;24;219456;48;60;1;15;0;46;112709;10;735;8369;1.79;2.31;0.52;117;2854;2618;-236;1
97;12;27;465504;48;62;5;4;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;0
97;2;25;59136;48;79;12;10;0;26;170449;1;1000;10787;2.64;3.09;0.45;131;6041;6261;220;1
95;8;18;21396;12;68;9;9;1;15;58796;5;519;9045;3.13;3.60;0.47;124;1845;1879;34;1
96;8;22;141648;24;52;7;17;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
96;3;4;213300;36;64;4;22;1;47;162580;6;728;9538;1.51;1.81;0.30;111;6079;5410;-669;1
98;7;27;335184;48;78;4;3;0;67;106054;6;631;8110;5.77;6.55;0.78;109;3244;3079;-165;0
97;3;18;76080;12;79;4;6;0;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
93;11;4;117024;24;35;10;3;1;14;177686;9;748;10045;1.42;1.71;0.29;135;6604;6295;-309;1
96;1;3;98832;48;70;9;10;0;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;1
94;7;23;143904;24;51;4;10;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
96;11;15;359760;60;79;5;31;1;43;161854;6;763;9425;1.72;2.50;0.78;125;4085;3891;-194;1
97;8;30;289920;48;44;1;27;0;33;133777;11;847;8705;5.75;7.61;1.86;116;4650;4859;209;1
97;3;6;150180;60;37;5;1;1;60;110643;4;519;8441;3.45;4.48;1.03;115;1879;2252;373;1
96;11;28;179328;48;73;11;21;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
96;8;3;258444;36;66;5;27;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;2;3;128988;36;39;8;15;1;20;70646;4;584;8547;2.65;3.64;0.99;120;1563;1542;-21;0
97;5;18;165168;36;58;7;3;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;11;9;110112;24;63;10;12;1;53;107911;7;509;8240;2.53;3.56;1.03;99;1850;1903;53;1
96;7;25;11400;12;80;4;30;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
96;2;10;61656;24;53;12;25;0;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;0
97;2;9;317520;60;68;2;16;0;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
97;5;4;53232;48;64;5;17;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
94;8;10;323472;48;40;10;15;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;1;11;20352;48;48;3;5;0;58;109164;4;636;8757;3.38;3.95;0.57;96;2212;2471;259;1
98;1;27;57060;12;43;3;9;1;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;3;23;22356;36;40;4;4;1;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
98;7;16;58764;12;46;1;1;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
97;4;28;399120;60;42;8;20;0;75;138032;5;646;8819;5.38;5.66;0.28;99;4063;4505;442;1
97;12;28;79824;12;56;12;30;1;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;1
96;4;25;320976;48;36;8;9;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;0
94;8;4;14628;12;49;3;8;0;55;157042;9;339;8743;1.88;2.43;0.55;111;3659;3894;235;1
94;7;11;173808;24;57;1;27;0;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;1
94;5;10;193968;36;72;12;3;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
96;11;12;276300;60;76;7;6;1;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
97;11;26;129312;24;73;10;20;0;4;149893;6;674;9753;4.64;5.05;0.41;109;5244;5892;648;0
97;2;2;117420;60;66;2;21;1;49;75685;9;608;8208;1.89;2.26;0.37;155;1660;2123;463;1
93;11;22;79608;24;70;4;28;1;44;105606;7;530;8254;2.79;3.76;0.97;97;2166;2325;159;1
98;9;9;170832;48;70;1;7;1;15;58796;5;519;9045;3.13;3.60;0.47;124;1845;1879;34;1
98;3;31;240528;48;56;6;29;1;47;162580;6;728;9538;1.51;1.81;0.30;111;6079;5410;-669;1
94;2;27;300660;60;50;1;7;1;40;128118;8;853;9317;6.49;7.07;0.58;97;6949;6872;-77;1
97;3;7;90180;36;60;9;23;1;28;72541;8;369;8594;1.62;2.01;0.39;112;1580;1525;-55;1
97;1;24;68340;60;53;3;16;1;4;149893;6;674;9753;4.64;5.05;0.41;109;5244;5892;648;1
97;8;21;202848;48;40;9;30;0;76;127369;7;512;8369;4.73;5.88;1.15;107;3736;2807;-929;1
94;4;7;149340;60;63;2;1;1;44;105606;7;530;8254;2.79;3.76;0.97;97;2166;2325;159;1
97;9;5;158184;36;53;8;7;1;47;162580;6;728;9538;1.51;1.81;0.30;111;6079;5410;-669;1
96;6;3;368880;60;74;8;4;1;66;125832;5;483;8512;3.51;4.12;0.61;102;2247;2103;-144;1
93;9;24;174744;24;48;8;12;0;24;122603;8;800;8991;1.39;2.01;0.62;128;5198;5273;75;0
94;6;17;174744;24;78;11;21;0;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;0
97;10;1;78696;36;71;3;24;0;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
97;10;4;349392;48;54;6;3;1;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
94;9;11;209184;48;53;6;18;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;7;18;32640;48;42;10;15;1;43;161854;6;763;9425;1.72;2.50;0.78;125;4085;3891;-194;1
98;4;19;140880;60;57;12;27;1;15;58796;5;519;9045;3.13;3.60;0.47;124;1845;1879;34;1
96;4;10;44628;12;43;11;26;1;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;1
97;1;21;221880;60;43;9;29;0;9;81344;6;553;8899;3.39;3.97;0.58;149;2987;2487;-500;1
96;8;9;44376;12;62;5;23;1;15;58796;5;519;9045;3.13;3.60;0.47;124;1845;1879;34;1
97;12;28;177504;48;44;4;12;1;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
94;11;2;83016;12;79;3;26;1;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
95;4;25;225420;60;48;8;3;0;61;117897;6;538;8814;4.76;5.74;0.98;107;2112;2059;-53;1
95;7;25;285600;60;80;12;7;0;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
95;7;10;98592;24;63;12;24;0;10;92084;5;467;10124;0.56;0.54;-0.02;141;3810;4316;506;1
98;11;21;99216;36;51;3;22;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
95;3;16;103680;60;71;6;24;1;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;0
97;1;8;232560;48;39;4;27;0;14;177686;9;748;10045;1.42;1.71;0.29;135;6604;6295;-309;1
96;2;21;290700;60;59;2;27;0;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;0
95;12;16;232560;48;70;1;29;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
95;11;28;31176;24;68;1;29;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;5;6;123600;60;67;6;30;1;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
97;9;14;177804;36;71;7;7;0;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
94;4;18;65184;12;57;9;29;1;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;1
98;6;23;184620;60;63;9;16;0;45;77917;5;535;8390;2.28;2.89;0.61;132;2080;2122;42;1
94;6;6;87216;48;64;5;13;1;15;58796;5;519;9045;3.13;3.60;0.47;124;1845;1879;34;0
98;6;18;78720;48;44;6;1;0;27;67298;7;438;8561;0.65;1.29;0.64;110;1029;1127;98;1
94;9;30;141240;24;62;9;11;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
94;11;3;61056;48;57;9;6;0;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
95;3;4;28248;24;70;2;10;0;47;162580;6;728;9538;1.51;1.81;0.30;111;6079;5410;-669;1
93;12;1;464520;60;40;12;2;0;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;0
94;10;2;11736;24;38;9;16;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
94;7;8;276660;36;49;5;18;1;56;124605;8;460;8772;4.69;4.98;0.29;126;2854;3158;304;0
98;5;28;5148;12;63;3;18;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;4;19;321360;60;75;1;24;1;24;122603;8;800;8991;1.39;2.01;0.62;128;5198;5273;75;1
98;1;6;407952;48;74;2;28;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;0
97;9;28;360864;48;77;10;26;0;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;0
97;10;22;26208;36;73;4;12;0;29;45714;6;556;8843;2.82;3.60;0.78;113;818;888;70;1
95;1;8;270648;36;37;11;4;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;0
97;7;30;67608;24;63;1;25;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
94;11;4;59760;24;58;11;26;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
97;12;28;247920;48;42;4;4;0;34;125236;5;877;9675;6.43;7.68;1.25;100;5323;5190;-133;1
97;2;8;247920;48;57;4;16;0;67;106054;6;631;8110;5.77;6.55;0.78;109;3244;3079;-165;0
94;12;20;398640;60;60;2;9;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
97;6;10;87360;24;37;3;15;1;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
94;6;7;87360;24;62;7;10;1;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
96;8;11;85632;48;49;4;7;0;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
95;2;12;79920;60;53;4;5;1;26;170449;1;1000;10787;2.64;3.09;0.45;131;6041;6261;220;1
96;8;6;270384;48;62;4;7;1;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;1
94;10;25;17508;12;46;4;1;1;12;107870;6;580;8754;3.83;4.31;0.48;137;3804;3868;64;1
96;9;16;181020;60;66;6;14;0;48;78955;9;590;9060;1.78;2.44;0.66;124;1655;1717;62;1
96;2;12;72408;24;58;6;13;0;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;0
94;12;20;36684;12;78;9;23;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
96;11;11;110136;24;58;2;24;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;6;17;34572;12;76;12;30;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;5;17;10944;36;51;7;10;1;34;125236;5;877;9675;6.43;7.68;1.25;100;5323;5190;-133;1
97;6;15;150912;36;75;9;27;0;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
95;2;6;43164;12;76;1;6;0;61;117897;6;538;8814;4.76;5.74;0.98;107;2112;2059;-53;1
94;5;26;76908;12;46;1;19;0;4;149893;6;674;9753;4.64;5.05;0.41;109;5244;5892;648;0
98;4;28;104964;12;66;5;11;1;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
98;10;8;38496;12;64;1;30;0;7;94725;6;634;9920;2.26;2.87;0.61;130;4289;4846;557;1
97;5;6;76992;24;65;10;17;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
94;3;31;212400;36;66;10;24;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
97;8;24;390660;60;78;6;29;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
95;11;12;60156;36;76;8;8;1;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;0
97;5;22;100260;60;67;7;19;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;7;9;294384;48;66;11;29;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
97;12;25;116496;24;58;10;7;1;61;117897;6;538;8814;4.76;5.74;0.98;107;2112;2059;-53;1
96;10;23;22968;36;50;7;27;0;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;1
97;9;24;127200;48;65;4;6;1;35;88768;7;805;8867;1.02;1.21;0.19;130;3384;3620;236;1
93;12;8;95400;36;71;2;10;1;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
98;7;12;64860;60;79;11;2;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
95;1;14;137880;60;63;3;12;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;0
95;10;31;37908;12;76;5;8;0;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
97;3;17;17184;12;44;5;31;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;4;30;124344;36;79;6;8;0;43;161854;6;763;9425;1.72;2.50;0.78;125;4085;3891;-194;1
97;12;21;49320;36;66;2;1;1;60;110643;4;519;8441;3.45;4.48;1.03;115;1879;2252;373;1
98;12;6;139488;24;69;9;4;1;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;1
95;12;5;194880;48;79;12;6;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
94;5;26;25944;24;60;5;21;0;41;118650;3;856;9832;3.32;4.48;1.16;114;6445;5471;-974;1
97;2;12;475680;48;66;5;8;0;36;159617;9;852;9198;3.33;4.28;0.95;131;5796;6132;336;1
96;7;25;96768;36;68;1;6;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
97;6;16;288720;48;43;4;19;1;51;121947;11;705;8541;2.51;2.97;0.46;131;3496;3839;343;1
98;5;22;495180;60;79;12;25;0;69;42821;3;484;8173;7;7.01;0.00;124;1358;1358;0;1
97;11;9;63972;36;47;5;24;1;55;157042;9;339;8743;1.88;2.43;0.55;111;3659;3894;235;0
98;2;8;194160;48;45;5;10;0;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
98;6;10;234336;48;71;12;3;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
93;12;9;47016;12;57;12;31;0;46;112709;10;735;8369;1.79;2.31;0.52;117;2854;2618;-236;1
94;11;6;48672;36;48;5;2;0;55;157042;9;339;8743;1.88;2.43;0.55;111;3659;3894;235;1
96;9;19;74124;36;39;4;13;0;12;107870;6;580;8754;3.83;4.31;0.48;137;3804;3868;64;1
98;4;16;49488;24;41;11;12;0;71;161227;10;697;8678;5.93;5.57;-0.36;102;4980;4595;-385;1
97;11;30;203940;60;54;5;11;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;11;17;99744;24;71;8;28;0;7;94725;6;634;9920;2.26;2.87;0.61;130;4289;4846;557;1
98;5;17;49872;12;67;2;12;0;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;1
96;8;4;155640;24;43;1;7;0;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
95;6;6;63360;60;55;8;14;1;49;75685;9;608;8208;1.89;2.26;0.37;155;1660;2123;463;1
98;1;15;152160;60;48;4;11;0;17;74062;7;614;8114;2.38;2.62;0.24;119;1003;1181;178;1
97;2;10;73260;60;40;7;7;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
98;3;12;49044;12;53;4;11;0;11;75637;7;365;9622;0.45;0.59;0.14;154;3475;3529;54;1
94;1;5;80952;24;45;2;4;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;4;29;30276;12;39;4;23;0;21;103347;7;670;9104;1.51;2.07;0.56;123;2299;2354;55;0
97;12;8;30276;12;62;2;9;1;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;4;19;110736;48;40;1;30;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
94;3;15;55368;24;39;12;25;0;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
94;5;26;63312;48;56;5;7;0;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;1
94;3;16;91200;24;55;8;26;0;39;119895;4;899;10446;7.34;9.40;2.06;90;4947;4743;-204;1
95;1;3;288468;36;58;10;26;0;63;86513;5;505;8288;3.79;4.52;0.73;110;1562;1460;-102;1
97;10;19;590820;60;67;8;22;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
95;11;2;41952;12;72;12;10;1;43;161854;6;763;9425;1.72;2.50;0.78;125;4085;3891;-194;1
98;7;11;12792;12;73;7;19;0;56;124605;8;460;8772;4.69;4.98;0.29;126;2854;3158;304;1
95;12;31;309600;48;75;6;26;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
97;8;17;153504;48;75;12;20;1;59;108871;6;621;8444;3.24;3.47;0.23;106;2595;2305;-290;1
97;12;11;130464;48;74;3;22;1;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;1
95;12;12;191880;60;49;3;8;1;21;103347;7;670;9104;1.51;2.07;0.56;123;2299;2354;55;1
95;3;27;31728;24;50;4;10;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;5;18;320592;48;70;11;9;0;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
98;1;8;170448;48;43;10;11;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;1;26;42384;12;41;12;7;0;40;128118;8;853;9317;6.49;7.07;0.58;97;6949;6872;-77;1
97;1;29;390096;48;78;9;26;1;46;112709;10;735;8369;1.79;2.31;0.52;117;2854;2618;-236;1
97;3;21;94488;24;58;8;21;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;2;25;220440;60;55;11;2;0;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
98;5;28;45456;12;47;5;15;0;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;1
98;5;12;140064;24;50;7;18;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
97;12;20;77544;36;42;4;14;0;2;88884;5;467;8507;1.67;1.85;0.18;132;2159;2674;515;1
94;3;11;51696;24;68;1;28;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
95;12;11;27984;12;49;2;16;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
94;5;22;196080;48;58;5;27;1;23;87419;9;855;8624;1.79;2.66;0.87;102;2879;3198;319;1
96;10;29;372120;60;45;1;26;1;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
96;1;1;189696;24;45;9;24;1;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
95;2;2;20832;48;48;5;4;1;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
94;9;28;189696;24;70;2;19;0;60;110643;4;519;8441;3.45;4.48;1.03;115;1879;2252;373;0
94;6;25;91584;24;51;11;16;0;33;133777;11;847;8705;5.75;7.61;1.86;116;4650;4859;209;1
